tensor([[1.9814]], device='cuda:0'),tensor(0.7786, device='cuda:0')
tensor([[0.8128]], device='cuda:0'),tensor(0.6695, device='cuda:0')
tensor([[1.2341]], device='cuda:0'),tensor(0.7031, device='cuda:0')
tensor([[1.5152]], device='cuda:0'),tensor(0.7698, device='cuda:0')
tensor([[1.8394]], device='cuda:0'),tensor(0.4851, device='cuda:0')
tensor([[0.2914]], device='cuda:0'),tensor(0.9483, device='cuda:0')
tensor([[0.0949]], device='cuda:0'),tensor(0.6367, device='cuda:0')
tensor([[0.8101]], device='cuda:0'),tensor(0.6418, device='cuda:0')
tensor([[2.2484]], device='cuda:0'),tensor(0.1775, device='cuda:0')
tensor([[1.6254]], device='cuda:0'),tensor(0.9591, device='cuda:0')
tensor([[1.3130]], device='cuda:0'),tensor(0.9089, device='cuda:0')
tensor([[0.8548]], device='cuda:0'),tensor(0.5592, device='cuda:0')
tensor([[1.6503]], device='cuda:0'),tensor(0.8466, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.5813, device='cuda:0')
tensor([[1.6154]], device='cuda:0'),tensor(0.6312, device='cuda:0')
tensor([[0.3979]], device='cuda:0'),tensor(0.8865, device='cuda:0')
tensor([[1.4267]], device='cuda:0'),tensor(0.3078, device='cuda:0')
tensor([[1.2913]], device='cuda:0'),tensor(0.4829, device='cuda:0')
tensor([[1.3422]], device='cuda:0'),tensor(0.3298, device='cuda:0')
tensor([[2.2894]], device='cuda:0'),tensor(0.7319, device='cuda:0')
tensor([[2.5200]], device='cuda:0'),tensor(0.1754, device='cuda:0')
tensor([[0.9542]], device='cuda:0'),tensor(0.3289, device='cuda:0')
tensor([[1.9746]], device='cuda:0'),tensor(0.4922, device='cuda:0')
tensor([[1.5669]], device='cuda:0'),tensor(0.7539, device='cuda:0')
tensor([[2.2355]], device='cuda:0'),tensor(0.8086, device='cuda:0')
tensor([[2.1146]], device='cuda:0'),tensor(0.3364, device='cuda:0')
tensor([[1.5979]], device='cuda:0'),tensor(0.5331, device='cuda:0')
tensor([[0.2725]], device='cuda:0'),tensor(0.9661, device='cuda:0')
tensor([[1.9548]], device='cuda:0'),tensor(0.9717, device='cuda:0')
tensor([[2.1258]], device='cuda:0'),tensor(0.8131, device='cuda:0')
tensor([[0.7578]], device='cuda:0'),tensor(0.9585, device='cuda:0')
tensor([[1.1126]], device='cuda:0'),tensor(0.6235, device='cuda:0')
