tensor(0.7172, device='cuda:0'),tensor(0.5580, device='cuda:0')
tensor(0.6014, device='cuda:0'),tensor(0.6843, device='cuda:0')
tensor(0.2521, device='cuda:0'),tensor(0.8453, device='cuda:0')
tensor(0.2348, device='cuda:0'),tensor(0.8138, device='cuda:0')
tensor(0.4662, device='cuda:0'),tensor(0.5327, device='cuda:0')
tensor(0.6508, device='cuda:0'),tensor(0.6413, device='cuda:0')
tensor(0.3788, device='cuda:0'),tensor(0.5665, device='cuda:0')
tensor(0.4328, device='cuda:0'),tensor(0.5693, device='cuda:0')
tensor(0.5037, device='cuda:0'),tensor(0.6657, device='cuda:0')
tensor(0.1222, device='cuda:0'),tensor(0.7828, device='cuda:0')
tensor(0.5248, device='cuda:0'),tensor(0.2956, device='cuda:0')
tensor(0.1008, device='cuda:0'),tensor(0.7387, device='cuda:0')
tensor(0.8899, device='cuda:0'),tensor(0.4072, device='cuda:0')
tensor(0.7994, device='cuda:0'),tensor(0.3125, device='cuda:0')
tensor(0.8372, device='cuda:0'),tensor(0.3892, device='cuda:0')
tensor(0.8188, device='cuda:0'),tensor(0.3772, device='cuda:0')
tensor(0.6199, device='cuda:0'),tensor(0.4950, device='cuda:0')
tensor(0.2367, device='cuda:0'),tensor(0.7839, device='cuda:0')
tensor(0.3009, device='cuda:0'),tensor(0.8030, device='cuda:0')
tensor(0.5608, device='cuda:0'),tensor(0.5021, device='cuda:0')
tensor(0.6793, device='cuda:0'),tensor(0.5132, device='cuda:0')
tensor(0.7837, device='cuda:0'),tensor(0.7594, device='cuda:0')
tensor(0.7352, device='cuda:0'),tensor(0.6877, device='cuda:0')
tensor(0.7012, device='cuda:0'),tensor(0.6501, device='cuda:0')
tensor(0.6328, device='cuda:0'),tensor(0.6749, device='cuda:0')
tensor(0.6199, device='cuda:0'),tensor(0.6093, device='cuda:0')
tensor(0.8676, device='cuda:0'),tensor(0.7546, device='cuda:0')
tensor(0.2811, device='cuda:0'),tensor(0.9212, device='cuda:0')
tensor(0.8199, device='cuda:0'),tensor(0.4470, device='cuda:0')
tensor(0.7690, device='cuda:0'),tensor(0.4503, device='cuda:0')
tensor(0.4420, device='cuda:0'),tensor(0.7008, device='cuda:0')
tensor(0.9425, device='cuda:0'),tensor(0.1495, device='cuda:0')
tensor(0.8152, device='cuda:0'),tensor(0.8316, device='cuda:0')
tensor(0.7657, device='cuda:0'),tensor(0.6256, device='cuda:0')
tensor(0.9473, device='cuda:0'),tensor(0.4186, device='cuda:0')
tensor(0.7217, device='cuda:0'),tensor(0.5691, device='cuda:0')
tensor(0.3635, device='cuda:0'),tensor(0.5277, device='cuda:0')
tensor(0.8411, device='cuda:0'),tensor(0.4467, device='cuda:0')
tensor(0.9349, device='cuda:0'),tensor(0.3063, device='cuda:0')
tensor(0.3229, device='cuda:0'),tensor(0.6340, device='cuda:0')
tensor(0.8732, device='cuda:0'),tensor(0.2915, device='cuda:0')
tensor(0.6658, device='cuda:0'),tensor(0.3459, device='cuda:0')
tensor(0.9191, device='cuda:0'),tensor(0.2259, device='cuda:0')
tensor(0.7991, device='cuda:0'),tensor(0.7300, device='cuda:0')
tensor(0.8900, device='cuda:0'),tensor(0.4178, device='cuda:0')
tensor(0.6282, device='cuda:0'),tensor(0.6483, device='cuda:0')
tensor(0.8560, device='cuda:0'),tensor(0.5141, device='cuda:0')
tensor(0.8353, device='cuda:0'),tensor(0.3670, device='cuda:0')
tensor(0.9102, device='cuda:0'),tensor(0.5592, device='cuda:0')
tensor(0.5120, device='cuda:0'),tensor(0.6602, device='cuda:0')
tensor(0.2266, device='cuda:0'),tensor(0.7743, device='cuda:0')
tensor(0.2860, device='cuda:0'),tensor(0.5955, device='cuda:0')
tensor(0.4281, device='cuda:0'),tensor(0.5494, device='cuda:0')
tensor(0.3147, device='cuda:0'),tensor(0.4100, device='cuda:0')
tensor(0.4809, device='cuda:0'),tensor(0.4348, device='cuda:0')
tensor(0.7302, device='cuda:0'),tensor(0.5388, device='cuda:0')
tensor(0.7640, device='cuda:0'),tensor(0.5142, device='cuda:0')
tensor(0.7079, device='cuda:0'),tensor(0.4998, device='cuda:0')
tensor(0.6536, device='cuda:0'),tensor(0.5474, device='cuda:0')
tensor(0.6202, device='cuda:0'),tensor(0.4837, device='cuda:0')
tensor(0.2686, device='cuda:0'),tensor(0.6107, device='cuda:0')
tensor(0.8720, device='cuda:0'),tensor(0.3213, device='cuda:0')
tensor(0.3552, device='cuda:0'),tensor(0.7493, device='cuda:0')
tensor(0.7064, device='cuda:0'),tensor(0.6956, device='cuda:0')
tensor(0.2887, device='cuda:0'),tensor(0.7172, device='cuda:0')
tensor(0.9069, device='cuda:0'),tensor(0.2129, device='cuda:0')
tensor(0.7496, device='cuda:0'),tensor(0.7444, device='cuda:0')
tensor(0.7389, device='cuda:0'),tensor(0.6670, device='cuda:0')
tensor(0.5920, device='cuda:0'),tensor(0.7633, device='cuda:0')
tensor(0.8415, device='cuda:0'),tensor(0.7096, device='cuda:0')
tensor(0.6584, device='cuda:0'),tensor(0.1729, device='cuda:0')
tensor(0.7815, device='cuda:0'),tensor(0.2571, device='cuda:0')
tensor(0.8564, device='cuda:0'),tensor(0.4017, device='cuda:0')
tensor(0.9450, device='cuda:0'),tensor(0.2579, device='cuda:0')
tensor(0.9712, device='cuda:0'),tensor(0.1862, device='cuda:0')
tensor(0.7051, device='cuda:0'),tensor(0.3261, device='cuda:0')
tensor(0.6268, device='cuda:0'),tensor(0.5043, device='cuda:0')
tensor(0.4904, device='cuda:0'),tensor(0.7551, device='cuda:0')
tensor(0.5672, device='cuda:0'),tensor(0.7446, device='cuda:0')
tensor(0.6360, device='cuda:0'),tensor(0.7623, device='cuda:0')
tensor(0.5892, device='cuda:0'),tensor(0.7260, device='cuda:0')
tensor(0.6382, device='cuda:0'),tensor(0.7093, device='cuda:0')
tensor(0.7429, device='cuda:0'),tensor(0.4084, device='cuda:0')
tensor(0.7857, device='cuda:0'),tensor(0.3478, device='cuda:0')
tensor(0.7479, device='cuda:0'),tensor(0.3641, device='cuda:0')
tensor(0.2416, device='cuda:0'),tensor(0.6094, device='cuda:0')
tensor(0.2597, device='cuda:0'),tensor(0.5241, device='cuda:0')
tensor(0.2874, device='cuda:0'),tensor(0.5571, device='cuda:0')
tensor(0.1365, device='cuda:0'),tensor(0.8258, device='cuda:0')
tensor(0.1365, device='cuda:0'),tensor(0.6546, device='cuda:0')
tensor(0.5205, device='cuda:0'),tensor(0.5140, device='cuda:0')
tensor(0.5094, device='cuda:0'),tensor(0.5126, device='cuda:0')
tensor(0.8055, device='cuda:0'),tensor(0.5373, device='cuda:0')
tensor(0.6978, device='cuda:0'),tensor(0.3496, device='cuda:0')
tensor(0.4783, device='cuda:0'),tensor(0.5433, device='cuda:0')
tensor(0.4056, device='cuda:0'),tensor(0.3966, device='cuda:0')
tensor(0.1739, device='cuda:0'),tensor(0.6670, device='cuda:0')
tensor(0.7877, device='cuda:0'),tensor(0.2419, device='cuda:0')
tensor(0.1634, device='cuda:0'),tensor(0.7750, device='cuda:0')
tensor(0.1429, device='cuda:0'),tensor(0.7469, device='cuda:0')
tensor(0.1397, device='cuda:0'),tensor(0.8012, device='cuda:0')
tensor(0.2201, device='cuda:0'),tensor(0.5097, device='cuda:0')
tensor(0.1580, device='cuda:0'),tensor(0.4848, device='cuda:0')
tensor(0.8078, device='cuda:0'),tensor(0.3794, device='cuda:0')
tensor(0.6001, device='cuda:0'),tensor(0.4804, device='cuda:0')
tensor(0.7769, device='cuda:0'),tensor(0.3948, device='cuda:0')
tensor(0.4243, device='cuda:0'),tensor(0.6990, device='cuda:0')
tensor(0.7412, device='cuda:0'),tensor(0.4843, device='cuda:0')
