tensor([[1.1945]], device='cuda:0'),tensor(0.3827, device='cuda:0')
tensor([[1.9445]], device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[0.3294]], device='cuda:0'),tensor(0.4266, device='cuda:0')
tensor([[1.9059]], device='cuda:0'),tensor(0.7195, device='cuda:0')
tensor([[1.9667]], device='cuda:0'),tensor(0.3920, device='cuda:0')
tensor([[1.9881]], device='cuda:0'),tensor(0.6769, device='cuda:0')
tensor([[2.1093]], device='cuda:0'),tensor(0.6173, device='cuda:0')
tensor([[0.8609]], device='cuda:0'),tensor(0.6403, device='cuda:0')
tensor([[1.6767]], device='cuda:0'),tensor(0.5669, device='cuda:0')
tensor([[2.0082]], device='cuda:0'),tensor(0.6481, device='cuda:0')
tensor([[1.5540]], device='cuda:0'),tensor(0.8129, device='cuda:0')
tensor([[1.3139]], device='cuda:0'),tensor(0.8690, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.9124]], device='cuda:0'),tensor(0.5194, device='cuda:0')
tensor([[1.0752]], device='cuda:0'),tensor(0.4178, device='cuda:0')
tensor([[1.4348]], device='cuda:0'),tensor(0.7299, device='cuda:0')
tensor([[0.6819]], device='cuda:0'),tensor(0.2640, device='cuda:0')
tensor([[0.5991]], device='cuda:0'),tensor(0.4200, device='cuda:0')
tensor([[0.8902]], device='cuda:0'),tensor(0.4735, device='cuda:0')
tensor([[1.0862]], device='cuda:0'),tensor(0.6988, device='cuda:0')
tensor([[1.3139]], device='cuda:0'),tensor(0.8690, device='cuda:0')
tensor([[0.8972]], device='cuda:0'),tensor(0.2261, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[1.4221]], device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[0.8629]], device='cuda:0'),tensor(0.6092, device='cuda:0')
tensor([[1.4593]], device='cuda:0'),tensor(0.5188, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.8654]], device='cuda:0'),tensor(0.4913, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.5310, device='cuda:0')
tensor([[1.6437]], device='cuda:0'),tensor(0.5834, device='cuda:0')
tensor([[1.7328]], device='cuda:0'),tensor(0.6785, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.7328]], device='cuda:0'),tensor(0.6785, device='cuda:0')
tensor([[1.3150]], device='cuda:0'),tensor(0.6280, device='cuda:0')
tensor([[1.1822]], device='cuda:0'),tensor(0.5488, device='cuda:0')
