tensor([[3.0937]], device='cuda:0'),tensor(0.7242, device='cuda:0')
tensor([[2.1722]], device='cuda:0'),tensor(0.7166, device='cuda:0')
tensor([[0.5570]], device='cuda:0'),tensor(0.5956, device='cuda:0')
tensor([[2.0831]], device='cuda:0'),tensor(0.8350, device='cuda:0')
tensor([[2.1730]], device='cuda:0'),tensor(0.8208, device='cuda:0')
tensor([[1.8744]], device='cuda:0'),tensor(0.9015, device='cuda:0')
tensor([[3.9979]], device='cuda:0'),tensor(0.5467, device='cuda:0')
tensor([[2.3495]], device='cuda:0'),tensor(0.5011, device='cuda:0')
tensor([[1.5047]], device='cuda:0'),tensor(0.8488, device='cuda:0')
tensor([[1.6736]], device='cuda:0'),tensor(0.8514, device='cuda:0')
tensor([[1.2276]], device='cuda:0'),tensor(0.7268, device='cuda:0')
tensor([[4.2688]], device='cuda:0'),tensor(0.5194, device='cuda:0')
tensor([[4.9040]], device='cuda:0'),tensor(0.6619, device='cuda:0')
tensor([[3.0968]], device='cuda:0'),tensor(0.7171, device='cuda:0')
tensor([[1.1321]], device='cuda:0'),tensor(0.7445, device='cuda:0')
tensor([[2.9170]], device='cuda:0'),tensor(0.8325, device='cuda:0')
tensor([[1.5493]], device='cuda:0'),tensor(0.8772, device='cuda:0')
tensor([[0.8788]], device='cuda:0'),tensor(0.7608, device='cuda:0')
tensor([[1.8399]], device='cuda:0'),tensor(0.6197, device='cuda:0')
tensor([[0.8041]], device='cuda:0'),tensor(0.7650, device='cuda:0')
tensor([[2.0468]], device='cuda:0'),tensor(0.7152, device='cuda:0')
tensor([[1.7688]], device='cuda:0'),tensor(0.7306, device='cuda:0')
tensor([[2.6227]], device='cuda:0'),tensor(0.7194, device='cuda:0')
tensor([[2.3207]], device='cuda:0'),tensor(0.5110, device='cuda:0')
tensor([[1.7953]], device='cuda:0'),tensor(0.4738, device='cuda:0')
tensor([[2.4387]], device='cuda:0'),tensor(0.5539, device='cuda:0')
tensor([[1.6903]], device='cuda:0'),tensor(0.5151, device='cuda:0')
tensor([[2.3808]], device='cuda:0'),tensor(0.8517, device='cuda:0')
tensor([[1.2766]], device='cuda:0'),tensor(0.6540, device='cuda:0')
tensor([[1.3998]], device='cuda:0'),tensor(0.5977, device='cuda:0')
tensor([[2.6627]], device='cuda:0'),tensor(0.6576, device='cuda:0')
tensor([[2.5909]], device='cuda:0'),tensor(0.7681, device='cuda:0')
tensor([[2.5644]], device='cuda:0'),tensor(0.8131, device='cuda:0')
tensor([[2.4147]], device='cuda:0'),tensor(0.7786, device='cuda:0')
tensor([[0.9652]], device='cuda:0'),tensor(0.4214, device='cuda:0')
tensor([[1.2834]], device='cuda:0'),tensor(0.4266, device='cuda:0')
tensor([[1.0336]], device='cuda:0'),tensor(0.6060, device='cuda:0')
tensor([[2.3241]], device='cuda:0'),tensor(0.7635, device='cuda:0')
tensor([[1.7804]], device='cuda:0'),tensor(0.8541, device='cuda:0')
tensor([[1.3572]], device='cuda:0'),tensor(0.6549, device='cuda:0')
tensor([[2.6136]], device='cuda:0'),tensor(0.7533, device='cuda:0')
tensor([[1.2647]], device='cuda:0'),tensor(0.7310, device='cuda:0')
