tensor([[2.4831]], device='cuda:0'),tensor(0.1035, device='cuda:0'),tensor(0.8138, device='cuda:0')
tensor([[1.2563]], device='cuda:0'),tensor(0.8184, device='cuda:0'),tensor(0.2383, device='cuda:0')
tensor([[2.2664]], device='cuda:0'),tensor(0.3260, device='cuda:0'),tensor(0.5073, device='cuda:0')
tensor([[2.4831]], device='cuda:0'),tensor(0.1035, device='cuda:0'),tensor(0.8138, device='cuda:0')
tensor([[2.1335]], device='cuda:0'),tensor(0.8303, device='cuda:0'),tensor(0.6461, device='cuda:0')
tensor([[2.2807]], device='cuda:0'),tensor(0.4252, device='cuda:0'),tensor(0.6202, device='cuda:0')
tensor([[0.0728]], device='cuda:0'),tensor(0.8797, device='cuda:0'),tensor(0.2737, device='cuda:0')
tensor([[1.6686]], device='cuda:0'),tensor(0.6053, device='cuda:0'),tensor(0.2976, device='cuda:0')
tensor([[2.1262]], device='cuda:0'),tensor(0.2845, device='cuda:0'),tensor(0.6593, device='cuda:0')
tensor([[0.7452]], device='cuda:0'),tensor(0.9216, device='cuda:0'),tensor(0.2789, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.1886, device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[1.5002]], device='cuda:0'),tensor(0.2280, device='cuda:0'),tensor(0.7255, device='cuda:0')
tensor([[0.9725]], device='cuda:0'),tensor(0.6475, device='cuda:0'),tensor(0.3651, device='cuda:0')
tensor([[1.0055]], device='cuda:0'),tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor([[1.1891]], device='cuda:0'),tensor(0.3848, device='cuda:0'),tensor(0.4267, device='cuda:0')
tensor([[0.7210]], device='cuda:0'),tensor(0.9471, device='cuda:0'),tensor(0.1830, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
tensor([[0.7117]], device='cuda:0'),tensor(0.9733, device='cuda:0'),tensor(0.2146, device='cuda:0')
tensor([[0.8811]], device='cuda:0'),tensor(0.9661, device='cuda:0'),tensor(0.2409, device='cuda:0')
tensor([[1.8565]], device='cuda:0'),tensor(0.0878, device='cuda:0'),tensor(0.7953, device='cuda:0')
tensor([[1.6846]], device='cuda:0'),tensor(0.7805, device='cuda:0'),tensor(0.3239, device='cuda:0')
tensor([[0.5219]], device='cuda:0'),tensor(0.9584, device='cuda:0'),tensor(0.1709, device='cuda:0')
tensor([[1.8303]], device='cuda:0'),tensor(0.6144, device='cuda:0'),tensor(0.5456, device='cuda:0')
tensor([[0.7669]], device='cuda:0'),tensor(0.7699, device='cuda:0'),tensor(0.3688, device='cuda:0')
tensor([[0.8567]], device='cuda:0'),tensor(0.6266, device='cuda:0'),tensor(0.5709, device='cuda:0')
tensor([[0.5818]], device='cuda:0'),tensor(0.2468, device='cuda:0'),tensor(0.6866, device='cuda:0')
tensor([[0.9944]], device='cuda:0'),tensor(0.8165, device='cuda:0'),tensor(0.3671, device='cuda:0')
tensor([[1.1794]], device='cuda:0'),tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor([[1.2576]], device='cuda:0'),tensor(0.2609, device='cuda:0'),tensor(0.4608, device='cuda:0')
tensor([[0.9800]], device='cuda:0'),tensor(0.7121, device='cuda:0'),tensor(0.4798, device='cuda:0')
tensor([[1.0864]], device='cuda:0'),tensor(0.8528, device='cuda:0'),tensor(0.2489, device='cuda:0')
tensor([[2.2358]], device='cuda:0'),tensor(0.1663, device='cuda:0'),tensor(0.6960, device='cuda:0')
tensor([[1.3672]], device='cuda:0'),tensor(0.9090, device='cuda:0'),tensor(0.2097, device='cuda:0')
tensor([[2.5418]], device='cuda:0'),tensor(0.4391, device='cuda:0'),tensor(0.8323, device='cuda:0')
tensor([[2.0326]], device='cuda:0'),tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor([[1.2576]], device='cuda:0'),tensor(0.2609, device='cuda:0'),tensor(0.4608, device='cuda:0')
tensor([[0.9431]], device='cuda:0'),tensor(0.1442, device='cuda:0'),tensor(0.2608, device='cuda:0')
tensor([[0.9928]], device='cuda:0'),tensor(0.6996, device='cuda:0'),tensor(0.4774, device='cuda:0')
tensor([[0.1556]], device='cuda:0'),tensor(0.9303, device='cuda:0'),tensor(0.2132, device='cuda:0')
tensor([[0.9818]], device='cuda:0'),tensor(0.6143, device='cuda:0'),tensor(0.2607, device='cuda:0')
tensor([[0.6922]], device='cuda:0'),tensor(0.8012, device='cuda:0'),tensor(0.6489, device='cuda:0')
tensor([[2.2417]], device='cuda:0'),tensor(0.1923, device='cuda:0'),tensor(0.7072, device='cuda:0')
tensor([[1.2637]], device='cuda:0'),tensor(0.2989, device='cuda:0'),tensor(0.4189, device='cuda:0')
tensor([[1.5315]], device='cuda:0'),tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor([[1.4465]], device='cuda:0'),tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor([[1.2779]], device='cuda:0'),tensor(0.7742, device='cuda:0'),tensor(0.3479, device='cuda:0')
tensor([[0.4077]], device='cuda:0'),tensor(0.9812, device='cuda:0'),tensor(0.1724, device='cuda:0')
tensor([[0.5914]], device='cuda:0'),tensor(0.9590, device='cuda:0'),tensor(0.1844, device='cuda:0')
tensor([[2.3324]], device='cuda:0'),tensor(0.1867, device='cuda:0'),tensor(0.7044, device='cuda:0')
tensor([[1.0809]], device='cuda:0'),tensor(0.3608, device='cuda:0'),tensor(0.5310, device='cuda:0')
tensor([[0.9586]], device='cuda:0'),tensor(0.9227, device='cuda:0'),tensor(0.3415, device='cuda:0')
tensor([[-0.1433]], device='cuda:0'),tensor(0.9481, device='cuda:0'),tensor(0.2712, device='cuda:0')
tensor([[1.8417]], device='cuda:0'),tensor(0.8735, device='cuda:0'),tensor(0.3448, device='cuda:0')
tensor([[1.2773]], device='cuda:0'),tensor(0.2222, device='cuda:0'),tensor(0.3973, device='cuda:0')
tensor([[0.7210]], device='cuda:0'),tensor(0.9471, device='cuda:0'),tensor(0.1830, device='cuda:0')
tensor([[0.3568]], device='cuda:0'),tensor(0.9536, device='cuda:0'),tensor(0.1737, device='cuda:0')
tensor([[0.2535]], device='cuda:0'),tensor(0.9588, device='cuda:0'),tensor(0.1677, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.1513, device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[0.6317]], device='cuda:0'),tensor(0.9185, device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor([[3.0604]], device='cuda:0'),tensor(0.1888, device='cuda:0'),tensor(0.8139, device='cuda:0')
tensor([[1.0277]], device='cuda:0'),tensor(0.4165, device='cuda:0'),tensor(0.5114, device='cuda:0')
tensor([[2.2453]], device='cuda:0'),tensor(0.0589, device='cuda:0'),tensor(0.8284, device='cuda:0')
tensor([[1.6323]], device='cuda:0'),tensor(0.4310, device='cuda:0'),tensor(0.4161, device='cuda:0')
tensor([[1.3675]], device='cuda:0'),tensor(0.7515, device='cuda:0'),tensor(0.4556, device='cuda:0')
tensor([[1.9445]], device='cuda:0'),tensor(0.1390, device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[1.1341]], device='cuda:0'),tensor(0.3444, device='cuda:0'),tensor(0.3819, device='cuda:0')
tensor([[-0.0688]], device='cuda:0'),tensor(0.9371, device='cuda:0'),tensor(0.1085, device='cuda:0')
